id,name,symbol,country
sos-limited,SOS Limited,SOS.US,CN
stablecoinx-inc,StablecoinX Inc,USDE.US,US
yuxing,YUXING,8005.HK,HK
coinsilium,Coinsilium,COIN.AQ,GI
wonderfi,WonderFi (acquired by Robinhood),WNDR.TO,CA
next-technology-holding,Next Technology Holding,NXTT.US,CN
lm-funding-america,LM Funding America,LMFA.US,US
yueda-digital-holding,Yueda Digital Holding,YDKG.US,KY
gamesquare-holdings,GameSquare Holdings,GAME.US,US
strive,Strive,ASST.US,US
consensus-mining-seigniorage,Consensus Mining & Seigniorage,CMSG,US
sharplink,SharpLink,SBET.US,US
apimeds-pharmaceuticals-us-inc,Apimeds Pharmaceuticals US Inc,APUS.US,US
gamestop-corp,GameStop Corp.,GME.US,US
atai-life-sciences-n-v,AtaiBeckley Inc (formerly ATAI Life Sciences N.V.),ATAI.US,DE
ace-digital,ACE Digital,ACED.OL,NO
cimg,CIMG,CIMG,CN
the9-limited,The9 Limited,NCTY.US,CN
quantum-solutions,Quantum Solutions,2338.T,JP
coinshares-international-limited,Coinshares International Limited,CS.ST,JE
cathedra-bitcoin,Cathedra Bitcoin (acquired by Sphere 3D Corp),CBIT.V,CA
virtu-financial,Virtu Financial,VIRT.US,US
asiastrategy,AsiaStrategy,SORA.US,HK
bitmax-co,Bitmax Co,377030.KQ,KR
phunware,Phunware,PHUN.US,US
riot-platforms,Riot Platforms,RIOT.US,US
phoenix-digital-assets,Phoenix Digital Assets,PNIX.AQ,GB
blue-star-capital,Blue Star Capital,BLU.L,GB
planet-ventures,Planet Ventures,,CA
bitstrat-holdings,BitStrat Holdings,6113.HK,HK
circle-internet-group,Circle Internet Group,CRCL.US,US
microcloud-hologram,Microcloud Hologram,HOLO.US,KY
kontrol-technologies,Kontrol Technologies,KNR.NE,CA
pineapple-financial,Pineapple Financial,PAPL.US,CA
digital-commodities-capital,Digital Commodities Capital,,CA
greenmerc,GreenMerc,,SE
boyaa-interactive-international-limited,Boyaa Interactive International Limited,434.HK,HK
devvstream,DevvStream,DEVS,CA
terawulf,TeraWulf,WULF.US,US
neptune-digital-assets,Neptune Digital Assets,NDA.V,CA
upexi,Upexi,UPXI.US,US
core-scientific,Core Scientific,CORZ.US,US
bit-mining,SOLAI Limited (formerly BIT Mining),SLAI.US,US
nexon-co-ltd,"NEXON Co., Ltd.",3659.T,JP
exodus-movement,Exodus Movement,EXOD.US,US
sbc-medical-group-holdings,SBC Medical Group Holdings,SBC.US,JP
genius-group,Genius Group,GNS.US,SG
canaan,Canaan,CAN.US,US
hive-digital-technologies,HIVE Digital Technologies,HIVE.US,CA
murano,Murano,MRNO.US,MX
bitfufu,BITFUFU,FUFU.US,SG
al-abraaj-restaurants-group,Al Abraaj Restaurants Group,ABRAAJ.BH,BH
classover-holdings,KIDZ AI Inc (formerly Classover Holdings),KIDZ.US,US
fitell-corporation,GMEX Robotics (formerly Fitell Corporation),GMEX.US,AU
rumble,RUM Group Inc (formerly Rumble),RUM.US,CA
defi-technologies,DeFi Technologies,DEFI.NE,CA
caliber,CaliberCos Inc,CWD.US,US
kulr-technology-group,KULR Technology Group,KULR.US,US
trump-media-technology-group-corp,Trump Media & Technology Group Corp.,DJT.US,US
bitcoin-standard-treasury-company,Bitcoin Standard Treasury Company,CEPO.US,US
mara-holdings,MARA Holdings,MARA.US,US
333d,333D,T3D.AX,AU
